minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
yes,36,female,more,.289915710687637,4.30000019073486,upper,yes,yes,24,43,1,0,1,1,0,1,1,1
yes,36,female,more,.289915710687637,3.70000004768372,upper,yes,yes,86,125,1,0,1,1,0,1,1,1
yes,36,female,more,.289915710687637,3.59999990463257,upper,yes,yes,76,125,1,0,1,1,0,1,1,1
yes,36,female,more,.289915710687637,4.40000009536743,upper,yes,yes,77,123,1,1,1,1,0,1,1,1
no,59,male,more,-.737732172012329,4.5,upper,yes,yes,17,20,2,0,0,0,0,1,1,1
no,59,male,more,-.737732172012329,4,upper,yes,yes,35,40,2,0,0,0,0,1,1,1
no,59,male,more,-.737732172012329,2.09999990463257,upper,yes,yes,39,44,2,1,0,0,0,1,1,1
no,51,male,more,-.571983575820923,3.70000004768372,upper,yes,yes,55,55,3,0,0,0,0,1,1,1
no,51,male,more,-.571983575820923,3.20000004768372,upper,yes,yes,111,195,3,1,0,0,0,1,1,1
no,40,female,more,-.677963376045227,4.30000019073486,upper,yes,yes,40,46,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.5,upper,yes,yes,24,27,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,4.09999990463257,upper,yes,yes,24,25,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,4.59999990463257,upper,yes,yes,17,20,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.79999995231628,upper,yes,yes,14,25,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.79999995231628,upper,yes,yes,37,42,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.79999995231628,upper,yes,yes,18,20,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,4.19999980926514,upper,yes,yes,15,18,4,1,0,1,0,1,1,1
no,31,female,more,1.50979399681091,4.40000009536743,upper,yes,yes,42,48,5,0,0,1,0,1,1,1
no,31,female,more,1.50979399681091,3.90000009536743,upper,yes,yes,40,44,5,0,0,1,0,1,1,1
